"FullID"	"Site"	"Sector"	"SampleDate"	"IDSample"	"Succession"	"SiteName"	"Canton"	"Municipiality"	"Altitude"	"Habitat"	"X_WGS84"	"Y_WGS84"	"SiteSectorCentroidsX"	"SiteSectorCentroidsY"	"Light"	"Temperature"	"Continentality"	"Humidity"	"Soil.reaction"	"Nitrogen"	"Salt"	"CanopyCover"	"Moss_g"	"Distance"	"MossHabitat"	"mb.moss.prok"	"mb.moss.euk"
"LM3N01M"	"LM"	"3"	"21.08.2018"	"D0"	"Moss"	"LM - Les Mosses"	"VD"	"Ormont-Dessous"	1.33650003737696	"Raised peat bog"	7.10030346114215	46.3964800387024	573981.005769088	138402.550227785	0.746157839769155	0.556670455601891	-0.262646074339377	1.41386681827344	-0.395750890837134	-0.388473792999764	-0.441939103845344	-0.944250620538032	0.166871736722461	-0.99433205842121	0.622297686833119	0.438379846985913	0.173525016224223
"LM3N02M"	"LM"	"3"	"21.08.2018"	"H1"	"Moss"	"LM - Les Mosses"	"VD"	"Ormont-Dessous"	1.33650003737696	"Raised peat bog"	7.10030346114215	46.3964800387024	573981.005769088	138402.550227785	0.746157839769155	0.556670455601891	-0.262646074339377	1.41386681827344	-0.395750890837134	-0.388473792999764	-0.441939103845344	-0.944250620538032	0.692541023374633	-0.99433205842121	0.622297686833119	0.565310680780383	0.198825862519188
"LM4N01M"	"LM"	"4"	"21.08.2018"	"L0"	"Moss"	"LM - Les Mosses"	"VD"	"Ormont-Dessous"	1.33650003737696	"Raised peat bog"	7.10030346114215	46.3964800387024	573967.942112895	138415.443234814	0.746157839769155	0.556670455601891	-0.262646074339377	1.41386681827344	-0.395750890837134	-0.388473792999764	-0.441939103845344	-1.1155688723392	1.01416018907902	-0.994088898075326	0.302040041666072	0.876613568810788	0.581539895601098
"LM4N02M"	"LM"	"4"	"21.08.2018"	"N1"	"Moss"	"LM - Les Mosses"	"VD"	"Ormont-Dessous"	1.33650003737696	"Raised peat bog"	7.10030346114215	46.3964800387024	573967.942112895	138415.443234814	0.746157839769155	0.556670455601891	-0.262646074339377	1.41386681827344	-0.395750890837134	-0.388473792999764	-0.441939103845344	-1.1155688723392	0.775630684813196	-0.994088898075326	0.302040041666072	0.638595450366185	0.739528342891475
"LT1N01M"	"LT"	"1"	"22.08.2018"	"G1"	"Moss"	"LT - Les Tenasses"	"VD"	"Saint-Légier-La Chiésaz"	0.614067584740767	"Raised peat bog"	6.92099301776153	46.4913278261721	560271.159701584	149030.356370956	1.54190263869838	-0.355346701971745	0.404264497299394	0.528256303555295	-1.1060471689435	-0.952470060883278	-1.47647429829482	0.149065419868441	-0.130442289921671	-0.806031249699778	0.906002739988039	0.308338254677284	1.57535685108039
"LT1N02M"	"LT"	"1"	"22.08.2018"	"A0"	"Moss"	"LT - Les Tenasses"	"VD"	"Saint-Légier-La Chiésaz"	0.614067584740767	"Raised peat bog"	6.92099301776153	46.4913278261721	560271.159701584	149030.356370956	1.54190263869838	-0.355346701971745	0.404264497299394	0.528256303555295	-1.1060471689435	-0.952470060883278	-1.47647429829482	0.149065419868441	-0.619936485879504	-0.806031249699778	0.906002739988039	0.283363133333308	1.13577399782058
"LT2N01M"	"LT"	"2"	"22.08.2018"	"F0"	"Moss"	"LT - Les Tenasses"	"VD"	"Saint-Légier-La Chiésaz"	0.614067584740767	"Raised peat bog"	6.92099301776153	46.4913278261721	560263.506300241	149027.973188497	1.54190263869838	-0.355346701971745	0.404264497299394	0.528256303555295	-1.1060471689435	-0.952470060883278	-1.47647429829482	-0.0437163357100203	-0.53684682444093	-0.806117744324267	0.366268387230838	-0.0149498318879958	1.60436757613336
"LT2N02M"	"LT"	"2"	"22.08.2018"	"I0"	"Moss"	"LT - Les Tenasses"	"VD"	"Saint-Légier-La Chiésaz"	0.614067584740767	"Raised peat bog"	6.92099301776153	46.4913278261721	560263.506300241	149027.973188497	1.54190263869838	-0.355346701971745	0.404264497299394	0.528256303555295	-1.1060471689435	-0.952470060883278	-1.47647429829482	-0.0437163357100203	-1.03708050044864	-0.806117744324267	0.366268387230838	-0.03444685923005	1.61915322292231
"LT3N01M"	"LT"	"3"	"22.08.2018"	"L1"	"Moss"	"LT - Les Tenasses"	"VD"	"Saint-Légier-La Chiésaz"	0.614067584740767	"Raised peat bog"	6.92099301776153	46.4913278261721	560257.396140094	149024.327523574	1.54190263869838	-0.355346701971745	0.404264497299394	0.528256303555295	-1.1060471689435	-0.952470060883278	-1.47647429829482	0.5343213310636	-0.125920403584877	-0.806226959545219	1.02698562099026	-0.306336289765857	1.91839555002079
"LT3N02M"	"LT"	"3"	"22.08.2018"	"K0"	"Moss"	"LT - Les Tenasses"	"VD"	"Saint-Légier-La Chiésaz"	0.614067584740767	"Raised peat bog"	6.92099301776153	46.4913278261721	560257.396140094	149024.327523574	1.54190263869838	-0.355346701971745	0.404264497299394	0.528256303555295	-1.1060471689435	-0.952470060883278	-1.47647429829482	0.5343213310636	0.436489209553736	-0.806226959545219	1.02698562099026	-0.184386687717838	1.29196120738868
"LT4N01M"	"LT"	"4"	"22.08.2018"	"M0"	"Moss"	"LT - Les Tenasses"	"VD"	"Saint-Légier-La Chiésaz"	0.614067584740767	"Raised peat bog"	6.92099301776153	46.4913278261721	560253.541032403	149020.935721508	1.54190263869838	-0.355346701971745	0.404264497299394	0.528256303555295	-1.1060471689435	-0.952470060883278	-1.47647429829482	-0.241148522473528	0.516187456239711	-0.806321019543189	1.14524957343898	0.233595317564132	1.31521567216326
"LT4N02M"	"LT"	"4"	"22.08.2018"	"A1"	"Moss"	"LT - Les Tenasses"	"VD"	"Saint-Légier-La Chiésaz"	0.614067584740767	"Raised peat bog"	6.92099301776153	46.4913278261721	560253.541032403	149020.935721508	1.54190263869838	-0.355346701971745	0.404264497299394	0.528256303555295	-1.1060471689435	-0.952470060883278	-1.47647429829482	-0.241148522473528	1.08651037046771	-0.806321019543189	1.14524957343898	0.211653297355918	1.39361168792296
"LV1N01M"	"LV"	"1"	"23.08.2018"	"V0"	"Moss"	"LV - Les Veaux"	"JU"	"Les Gevenez"	-0.165026236729641	"Raised peat bog"	7.093384	47.2409488000405	573862.002911599	232275.306157604	-0.930172196210396	-0.986232357089433	0.69894591267467	-0.774112100441975	-0.64259144138474	-0.514091143573823	0.489142571159183	1.19352419501573	1.90271085425882	1.16811611471062	0.302040029921191	0.816199382905385	-0.94738509701026
"LV1N02M"	"LV"	"1"	"23.08.2018"	"R0"	"Moss"	"LV - Les Veaux"	"JU"	"Les Gevenez"	-0.165026236729641	"Raised peat bog"	7.093384	47.2409488000405	573862.002911599	232275.306157604	-0.930172196210396	-0.986232357089433	0.69894591267467	-0.774112100441975	-0.64259144138474	-0.514091143573823	0.489142571159183	1.19352419501573	0.611147069312356	1.16811611471062	0.302040029921191	0.807185654879148	-1.06616136763325
"LV2N01M"	"LV"	"2"	"23.08.2018"	"Z0"	"Moss"	"LV - Les Veaux"	"JU"	"Les Gevenez"	-0.165026236729641	"Raised peat bog"	7.093384	47.2409488000405	573862.261790127	232287.025332131	-0.930172196210396	-0.986232357089433	0.69894591267467	-0.774112100441975	-0.64259144138474	-0.514091143573823	0.489142571159183	0.795327350570527	0.408227419948781	1.16838720665853	0.302040030776358	1.25801584754564	-1.27603645488151
"LV2N02M"	"LV"	"2"	"23.08.2018"	"Y0"	"Moss"	"LV - Les Veaux"	"JU"	"Les Gevenez"	-0.165026236729641	"Raised peat bog"	7.093384	47.2409488000405	573862.261790127	232287.025332131	-0.930172196210396	-0.986232357089433	0.69894591267467	-0.774112100441975	-0.64259144138474	-0.514091143573823	0.489142571159183	0.795327350570527	-0.343536183543034	1.16838720665853	0.302040030776358	1.27546879955499	-1.8337296639712
"LV3N01M"	"LV"	"3"	"23.08.2018"	"Q0"	"Moss"	"LV - Les Veaux"	"JU"	"Les Gevenez"	-0.165026236729641	"Raised peat bog"	7.093384	47.2409488000405	573856.364292492	232292.454941738	-0.930172196210396	-0.986232357089433	0.69894591267467	-0.774112100441975	-0.64259144138474	-0.514091143573823	0.489142571159183	1.58908884490253	-0.0100470662045597	1.16848797408466	-0.0532841930446425	1.13468142468456	-1.4383620305906
"LV3N02M"	"LV"	"3"	"23.08.2018"	"D1"	"Moss"	"LV - Les Veaux"	"JU"	"Les Gevenez"	-0.165026236729641	"Raised peat bog"	7.093384	47.2409488000405	573856.364292492	232292.454941738	-0.930172196210396	-0.986232357089433	0.69894591267467	-0.774112100441975	-0.64259144138474	-0.514091143573823	0.489142571159183	1.58908884490253	0.265222764547706	1.16848797408466	-0.0532841930446425	1.23340179054381	-1.44986495062112
"LV4N01M"	"LV"	"4"	"23.08.2018"	"T0"	"Moss"	"LV - Les Veaux"	"JU"	"Les Gevenez"	-0.165026236729641	"Raised peat bog"	7.093384	47.2409488000405	573866.913179354	232301.709537553	-0.930172196210396	-0.986232357089433	0.69894591267467	-0.774112100441975	-0.64259144138474	-0.514091143573823	0.489142571159183	0.634052649218213	0.0928258479574781	1.16874474299259	0.302040050863855	1.14672773151019	-0.896224049892116
"LV4N02M"	"LV"	"4"	"23.08.2018"	"J0"	"Moss"	"LV - Les Veaux"	"JU"	"Les Gevenez"	-0.165026236729641	"Raised peat bog"	7.093384	47.2409488000405	573866.913179354	232301.709537553	-0.930172196210396	-0.986232357089433	0.69894591267467	-0.774112100441975	-0.64259144138474	-0.514091143573823	0.489142571159183	0.634052649218213	2.0389326801547	1.16874474299259	0.302040050863855	1.15185611087384	-0.53992012864248
